,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
246,3.792404028189201e-11,1.8356340595956413e-10,True,True
247,8.466767002024983e-17,8.639303010040258e-16,True,True
248,0.0022757699412721166,0.0038752021424815985,True,True
249,0.002368002166813582,0.004018392675020101,True,True
250,0.00017209480394247517,0.00034609286823122915,True,True
252,0.0040014332425263675,0.006549006088549787,True,True
253,3.110316046774599e-07,9.178460831573489e-07,True,True
256,3.1082425204734567e-15,2.5244423855749397e-14,True,True
258,9.461863493475841e-09,3.4145329402505776e-08,True,True
259,0.0005497607851933124,0.0010257174170228396,True,True
260,1.1781271290500151e-07,3.669036624182263e-07,True,True
261,7.841384839950609e-36,2.5085170946323476e-33,True,True
262,0.014457379222742513,0.021668508248557775,True,True
263,7.524683244843419e-05,0.00015926109171118607,True,True
264,0.0003777274959946921,0.0007222982613801534,True,True
267,2.296007179465199e-13,1.4761266849743698e-12,True,True
268,1.2000143946928619e-15,1.0318690228132996e-14,True,True
269,4.074811711932156e-08,1.351248081546703e-07,True,True
270,3.1540347774423145e-11,1.5429409259637181e-10,True,True
271,8.065787906831906e-06,1.9626442252343143e-05,True,True
272,5.785971910737763e-05,0.0001245205740102091,True,True
273,1.981553544234304e-10,8.836173845288488e-10,True,True
275,0.008897191047052319,0.013834291209525545,True,True
277,1.278921967944986e-07,3.967919719154029e-07,True,True
279,3.804130382311683e-26,1.4767719630209962e-24,True,True
280,7.888693129993047e-06,1.9240035835187054e-05,True,True
281,0.00010191563804424061,0.0002117624064486717,True,True
282,0.02016324551547659,0.029558729317706894,True,True
283,0.017040681751765097,0.025238149628064303,True,True
285,0.018947028216494244,0.027877515751634278,True,True
287,1.6346024855058107e-21,3.1410186804352484e-20,True,True
289,6.673576346351638e-07,1.8871506201215345e-06,True,True
290,1.485813872949336e-13,9.826736085451677e-13,True,True
291,0.00016034944442582452,0.000323715864491775,True,True
293,0.004333620483204713,0.007057248665852321,True,True
294,0.0030306253516345625,0.005051042252724271,True,True
295,0.0006450141560499554,0.001191262235061155,True,True
296,0.010724293763999417,0.016422495769266018,True,True
302,6.008671100719861e-09,2.2250759542322742e-08,True,True
303,0.002847181554917286,0.004764609257114804,True,True
305,0.0050815842070877915,0.00817283001372699,True,True
307,6.461746660530423e-08,2.083364568134809e-07,True,True
308,9.382170291865401e-14,6.370950935219136e-13,True,True
309,3.722501160316254e-08,1.240474682570665e-07,True,True
310,1.805490156818623e-05,4.1831870250860665e-05,True,True
311,3.9045414995141903e-07,1.1370693594758538e-06,True,True
312,0.010223378527578136,0.015718126029184078,True,True
313,0.006551188539081374,0.010380827555735711,True,True
314,0.006138589728915429,0.009766452161264877,True,True
316,0.001851937019400353,0.0031937917550305577,True,True
317,3.067005534350115e-12,1.6976136048028912e-11,True,True
320,2.924238507806686e-09,1.125584229553487e-08,True,True
325,0.0011357089466301896,0.00202365879866287,True,True
326,5.7833961794066e-06,1.4367007333800549e-05,True,True
327,8.055455100463214e-05,0.00016972556026405907,True,True
328,3.7702538402364577e-13,2.362391552052405e-12,True,True
329,0.002754190135514429,0.004623774012731951,True,True
330,3.888896835676501e-09,1.4745542764774267e-08,True,True
333,5.695802115083309e-06,1.4167743921967481e-05,True,True
